x,y
58,16
57,26
59,38
60,36
54,41
68,27
99,99
72,73
80,78
69,19
63,26
60,34
69,47
71,32
73,34
64,19
73,32
73,37
75,33
79,29
78,48
65,43
70,20
66,50
72,41
73,43
75,57
65,4
61,26
59,48
68,59
73,39
73,42
78,45
99,0
63,52
77,31
77,38
59,21
79,29
82,32
69,65
56,33
72,47
81,20
63,30
63,20
68,24
71,27
77,18
80,30
64,56
61,55
75,60
80,32
79,48
87,29
46,20
99,99
79,91
99,74
53,48
58,58
63,65
99,99
69,42
91,53
52,31
75,35
65,34
72,53
60,25
82,56
56,77
64,84
80,59
42,45
31,12
31,26
33,39
32,46
85,29
77,50
85,56
66,26
88,54
